epoch,acc,loss,val_acc,val_loss
0,0.8409708,0.28802077437074763,0.7087545394897461,0.5327755212783813
1,0.84281754,0.23200506531935455,0.8628831505775452,0.041254233568906784
2,0.8324984,0.217758229536754,0.8336268663406372,0.37068310379981995
3,0.83386517,0.208537939125678,0.8803537487983704,0.03322703763842583
4,0.83088607,0.20273507253275294,0.8351640105247498,0.018299875780940056
5,0.8328054,0.19266840402495347,0.803836464881897,0.08524379134178162
6,0.84040016,0.19369182466091323,0.866295337677002,0.17597512900829315
7,0.8383018,0.19081300328463408,0.8114396333694458,0.2692740261554718
8,0.8325722,0.19261828951524976,0.8774154782295227,0.07115978747606277
9,0.832067,0.18860360125727405,0.7153599262237549,0.5500122904777527
10,0.84173334,0.1790550566207406,0.8694121837615967,0.02762422524392605
11,0.84186864,0.1768301667312271,0.8482763171195984,0.15623928606510162
12,0.83670187,0.17854374722314117,0.861426830291748,0.09627111256122589
13,0.8342027,0.19135900813056209,0.8837923407554626,0.02219937928020954
14,0.8389469,0.17166698408807635,0.8502082824707031,0.02627616375684738
15,0.8268742,0.17788407567422837,0.6792833209037781,0.13570202887058258
16,0.83725774,0.16430273401919146,0.8447571992874146,0.016800852492451668
17,0.8386571,0.1641996276170227,0.844773530960083,0.2687305510044098
18,0.83377534,0.16633236522874156,0.8648092150688171,0.16320988535881042
19,0.84177923,0.17282197011595,0.8061447739601135,0.522233784198761
20,0.8414041,0.1633797811075939,0.7709977030754089,0.40745314955711365
21,0.830789,0.16353379312399727,0.8582679033279419,0.15018461644649506
22,0.83935106,0.1506714326872801,0.8575199246406555,0.021030675619840622
23,0.8375733,0.15347909185980044,0.8447211980819702,0.021063342690467834
24,0.83883214,0.14585911794246753,0.8306026458740234,0.43699291348457336
25,0.8465265,0.13845237310330843,0.8199493288993835,0.3635181188583374
26,0.83516294,0.1492418460707356,0.8279826045036316,0.1928856074810028
27,0.84058696,0.14932771463765948,0.8465808033943176,0.3154529929161072
28,0.83488274,0.14471660432940017,0.8512108325958252,0.23282690346240997
29,0.8336992,0.14990078391945255,0.8794284462928772,0.10338642448186874
30,0.83997655,0.14798543493995006,0.8462122082710266,0.08212006837129593
31,0.8446389,0.14869986207781538,0.8161191940307617,0.046755608171224594
32,0.8397103,0.14803270524210063,0.8537623286247253,0.25325971841812134
33,0.8360998,0.1465064382219076,0.7975491285324097,0.17017032206058502
34,0.8434733,0.1372077969994543,0.8423818945884705,0.26150691509246826
35,0.843327,0.13779532309478384,0.8625245690345764,0.09355508536100388
36,0.8308661,0.15055060660384129,0.8452200889587402,0.3516278564929962
37,0.8370454,0.14694369006035632,0.8222959041595459,0.2572866380214691
38,0.84867954,0.13206460282615043,0.8473849296569824,0.3376823365688324
39,0.84640336,0.15188395450970407,0.8479800820350647,0.021634012460708618
40,0.83948123,0.13972572998570287,0.8424170017242432,0.661090075969696
41,0.83528143,0.1470688840863776,0.8374245762825012,0.5459078550338745
42,0.8494672,0.14357448430089353,0.8510162830352783,0.3134118616580963
43,0.8333717,0.140924162009234,0.8608918786048889,0.19150716066360474
44,0.8404858,0.13542433911772056,0.832457959651947,0.03340192511677742
45,0.8402253,0.1476963325776641,0.8287301659584045,0.11262962222099304
46,0.82843417,0.14690328726965515,0.854136049747467,0.04241231083869934
47,0.8357222,0.1507453547162846,0.8683872222900391,0.17694054543972015
48,0.83965176,0.1386553089119956,0.8551948070526123,0.01915164664387703
49,0.8378746,0.1440315066371414,0.8588644862174988,0.09521592408418655
50,0.8366498,0.15304322770462211,0.8392850160598755,0.26836326718330383
51,0.83477724,0.14271037133220457,0.850303590297699,0.015420546755194664
52,0.8350527,0.1483844017949273,0.7682622075080872,0.32540276646614075
53,0.83835334,0.1425971486386109,0.8631291389465332,0.08803753554821014
54,0.8473099,0.14247025289959023,0.8582943677902222,0.08415903896093369
55,0.8397688,0.14019089347658226,0.8440768718719482,0.20283205807209015
56,0.83238983,0.14621101683444881,0.8233349323272705,0.0775262638926506
57,0.8399345,0.14899353517892647,0.8365219235420227,0.042909566313028336
58,0.83513397,0.14156219661289957,0.8615040183067322,0.27266085147857666
59,0.84723496,0.13933666726214528,0.7852490544319153,0.03992181643843651
